geo_code,age_group,population
E07000123,90+,904.00
E07000123,All ages,141818.00
E07000124,0-4,2577.00
E07000124,5-9,3293.00
E07000124,10-14,3682.00
E07000124,15-19,3499.00
E07000124,20-24,2584.00
E07000124,25-29,2945.00
E07000124,30-34,2693.00
E07000124,35-39,2954.00
E07000124,40-44,3263.00
E07000124,45-49,4616.00
E07000124,50-54,4994.00
E07000124,55-59,4710.00
E07000124,60-64,4093.00
E07000124,65-69,3802.00
E07000124,70-74,3917.00
E07000124,75-79,2621.00
E07000124,80-84,1927.00
E07000124,85-89,1168.00
E07000124,90+,719.00
E07000124,All ages,60057.00
E07000125,0-4,4082.00
E07000125,5-9,4580.00
E07000125,10-14,4395.00
E07000125,15-19,3860.00
E07000125,20-24,3427.00
E07000125,25-29,4272.00
E07000125,30-34,4348.00
E07000125,35-39,4405.00
E07000125,40-44,4374.00
E07000125,45-49,5331.00
E07000125,50-54,5474.00
E07000125,55-59,5028.00
E07000125,60-64,4251.00
E07000125,65-69,4030.00
E07000125,70-74,3755.00
E07000125,75-79,2215.00
E07000125,80-84,1601.00
E07000125,85-89,913.00
